url,file_type,is_subscriber_content
https://drive.google.com/drive/folders/1rCb6cSLxhbwOWB7s8m7QyYEsFeS-Qsdu,,False
https://drive.google.com/drive/folders/1s4_WjpZx4kZcTXXKzkNJIvpnhCfD8cac,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://drive.google.com/drive/folders/1f_0GCUSWRsuVp8Y0g9AcEM_amAS-xFc3,,False
https://drive.google.com/drive/folders/1600H6Wq3cQvTGJZTUF8PxEZ0FjhiYEVk,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://drive.google.com/drive/folders/1y-FQ5B14hDjEh-pzseOvIBiYg20t8ZCd,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://drive.google.com/drive/folders/1nvtYvSa-CT7LRzR3VnYgR3LqFvmODBI8,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://drive.google.com/drive/folders/1j0Bn50seuIYJEQwC9UNQF3BKKXxqQU7w,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://drive.google.com/drive/folders/1WHng80H5O3p12lvo95XYk6d1N5FIlVi0,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://drive.google.com/drive/folders/1b8pTXkhUnqmtgo_xIzoGIb2bu4hDi2La,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://drive.google.com/drive/folders/1gkLoL5mu5_-UQ1GbgSutRY9XZl7leNXD,,False
https://drive.google.com/drive/folders/1mFqid-J-h68RJkmjlUajDnkhGRsZY9tF,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://internet2.box.com/s/2lnlt2mpbgxndfapel2c4528eo33z7nx,,False
https://drive.google.com/drive/folders/1KXgIGpxBe5GsxgiQdav28muoZRlYCipM,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://drive.google.com/drive/folders/1pIO7TmIsow5w3_5z4TkZ7Iphl84lTSOv,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://drive.google.com/drive/folders/1eAuJv0F5H2gzA_9Pt2f8DgkFmb22uA1q,,False
https://drive.google.com/drive/folders/1bcIAY8ii4IKvhY40eWSS4mhnBDd_ZYO2,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
"https://spaces.at.internet2.edu/download/attachments/94274248/noun_presentation%20materials_214973.png?version=1&modificationDate=1615137734053&api=v2&effects=border-simple,shadow-kn",png,False
https://blogs.cornell.edu/cloudforum/cloud-forum-2021-agenda/#pres2,,False
https://blogs.cornell.edu/cloudforum/cloud-forum-2021-agenda/#r3,,False
https://blogs.cornell.edu/cloudforum/cloud-forum-2021-agenda/#r2,,False
https://blogs.cornell.edu/cloudforum/cloud-forum-2021-agenda/#pres1,,False
https://blogs.cornell.edu/cloudforum/cloud-forum-2021-agenda/#r1,,False
https://blogs.cornell.edu/cloudforum/cloud-forum-2021-agenda/#lightning,,False
https://drive.google.com/file/d/1k0c8RZkBpTeo7YTzbn2yNbK7skGsfkFK,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://drive.google.com/drive/folders/1tbKejOZfIa6jgH34fmZLqGq7atEG2Yi0,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://www2.internet2.edu/l/66332/2021-08-02/dxzzgf,,False
https://drive.google.com/drive/folders/1sPZ9L18oiWUcdoHzFiYIElRFS-4-J0MM,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://www2.internet2.edu/l/66332/2021-08-02/dxzzg3,,False
https://spaces.at.internet2.edu/pages/viewpage.action?pageId=188842573,action,False
https://www2.internet2.edu/l/66332/2021-08-02/dxzzft,,False
https://drive.google.com/drive/folders/1zqASPUsUFFFY9Y6zfO_lhcYDMUeKzWXA,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://tinyurl.com/NETPlusCloudCheckrPremium,,False
https://drive.google.com/drive/folders/1_Ly7Uu5Cbokn2uziZ9xdYh4JGzYo8Op5,,False
https://internet2.hosted.panopto.com/Panopto/Pages/Viewer.aspx?tid=ac28914b-93d5-46d4-938e-ad3600b047a5,aspx,False
https://drive.google.com/drive/folders/12sq8Wn4DmXP-kliEKrzupMFC6p6mPFil,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://drive.google.com/drive/folders/1Zx3rNK9RtTc9FehhNPP8OY3wo3ajFZ0E,,False
https://drive.google.com/drive/folders/1rjsqGrcrDBJ22iCZ3BJpu5_wVCQRW2Sd,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://drive.google.com/drive/folders/1-LYQzvZbbhWCZGvELAIklbnEd5mK-YmQ,,False
https://drive.google.com/drive/folders/1LEvE_moSaWaabata_B8SDN28q2yAO4GE,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://drive.google.com/drive/folders/1fdTJQfSf7-Yd8KW6I82wEM6Ncytk4x1m,,False
https://www.youtube.com/watch?v=q3oDWIFCGHA,,False
https://internet2.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=d3c2f436-26eb-4800-955c-ace500e99ecd,aspx,False
https://drive.google.com/drive/u/1/folders/1q6jryX4uIvZsC1grZOiHMm-lMI5B7BjG,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://drive.google.com/drive/folders/1ggc7LmakBRUMqBgu4ZSoE0wq8FS0zm4X,,False
https://drive.google.com/drive/folders/164mZZY9BN-Loz2CoCi63cL3p4Hvg1A5a,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://drive.google.com/drive/folders/186k0a9_oZ6Xatu5af7jgVwj7jXVyjnb6,,False
https://drive.google.com/drive/folders/1ESkqcHt0H96kwxbCanWaCa1HhCPA0hV4,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://drive.google.com/drive/folders/1pXIEQ39e3drwQtpES_ZzVJXhqHXX0YP3,,False
https://drive.google.com/drive/folders/1JrBMEpX_3-UI71183xFVT-P4hXFOvZE-,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://drive.google.com/drive/folders/1qy3Sd6qRTw7_m5MrSWMKhXDJwxSmUcAd,,False
